Clone,Type,Rep,Date,epp0,epp1,epp2,TotalEpp,TotalEmb,TotalEmbCorr,LowNumbers,Priorto1LiterStart,Dayssince1stDate,Notes
AxB_R2_P227_A,selfedC,2,4/9/20,0,0,1,1,2,2,,,141,
AxB_R2_P227_A,selfedC,2,4/23/20,0,0,1,1,2,2,,,155,
AxB_R2_P227_A,selfedC,2,5/7/20,0,0,9,9,18,18,,,169,
AxB_R2_P227_A,selfedC,2,5/21/20,4,5,10,19,25,25,,,183,
AxB_R2_P227_A,selfedC,2,6/4/20,6,0,0,6,0,0,,,197,
AxB_R2_P30_A,selfedC,1,3/11/20,1,0,0,1,0,0,,,112,
AxB_R2_P30_A,selfedC,1,3/26/20,5,0,0,5,0,0,,,127,
AxB_R2_P30_A,selfedC,1,4/9/20,0,0,0,0,0,0,,,141,
AxB_R2_P30_A,selfedC,1,4/23/20,1,1,0,2,1,1,,,155,
AxB_R2_P30_A,selfedC,1,5/7/20,1,1,0,2,1,1,,,169,
AxB_R2_P30_A,selfedC,1,5/21/20,5,2,1,8,4,4,,,183,
AxB_R2_P30_A,selfedC,1,6/4/20,7,0,0,7,0,0,,,197,
AxB_R2_P30_A,selfedC,2,4/9/20,0,0,0,0,0,0,,,141,
AxB_R2_P30_A,selfedC,2,4/23/20,1,0,0,1,0,0,,,155,
AxB_R2_P378_A,selfedC,1,4/9/20,0,0,0,0,0,0,1,,141,"low numbers, struggling"
AxB_R2_P378_A,selfedC,1,4/23/20,0,0,0,0,0,0,,,155,
AxB_R2_P378_A,selfedC,1,5/7/20,0,0,0,0,0,0,1,,169,"low numbers, struggling"
AxB_R2_P378_A,selfedC,1,5/21/20,0,0,0,0,0,0,1,,183,"few, if any, moms"
AxB_R2_P378_A,selfedC,1,6/4/20,0,0,0,0,0,0,,,197,
AxB_R2_P52_B,AxCF1,1,3/11/20,10,0,0,10,0,0,,,112,
AxB_R2_P52_B,AxCF1,1,3/17/20,1,0,7,8,14,14,,,118,
AxB_R2_P52_B,AxCF1,1,4/2/20,2,0,5,7,10,10,,,134,
AxB_R2_P52_B,AxCF1,1,4/16/20,2,0,0,2,0,0,,,148,
AxB_R2_P52_B,AxCF1,1,4/30/20,6,0,0,6,0,0,,,162,
AxB_R2_P52_B,AxCF1,1,5/14/20,8,0,0,8,0,0,,,176,
AxB_R2_P52_B,AxCF1,1,5/28/20,1,0,6,7,12,12,,,190,
AxB_R2_P52_B,AxCF1,2,3/11/20,5,0,0,5,0,0,,,112,
AxB_R2_P52_B,AxCF1,2,3/17/20,8,0,0,8,0,0,,,118,
AxB_R2_P52_B,AxCF1,2,4/2/20,8,1,5,14,11,11,,,134,
AxB_R2_P52_B,AxCF1,2,4/16/20,1,0,6,7,12,12,,,148,
AxB_R2_P52_B,AxCF1,2,4/30/20,0,0,2,2,4,4,,,162,
AxB_R2_P52_B,AxCF1,2,5/14/20,0,0,8,8,16,16,,,176,
AxB_R2_P52_B,AxCF1,2,5/28/20,1,0,8,9,16,16,,,190,
AxB_R2_P52_B,AxCF1,3,3/11/20,11,0,0,11,0,0,,,112,
AxB_R2_P52_B,AxCF1,3,3/26/20,11,0,0,11,0,0,,,127,
AxB_R2_P52_B,AxCF1,3,4/9/20,2,0,0,2,0,0,,,141,
AxB_R2_P52_B,AxCF1,3,4/23/20,2,0,0,2,0,0,,,155,
AxB_R2_P52_B,AxCF1,3,5/7/20,5,0,5,10,10,10,,,169,
AxB_R2_P52_B,AxCF1,3,5/21/20,3,1,5,9,11,11,,,183,
AxB_R2_P52_B,AxCF1,3,6/4/20,1,0,6,7,12,14,,,197,plus 2 neonates
AxB_R2_P52_B,AxCF1,?,2/19/20,4,0,0,4,0,0,,,91,
AxB_R2_P52_B,AxCF1,?,2/19/20,15,0,0,15,0,0,,,91,
AxB_R2_P87_B,selfedC,2,3/11/20,1,0,2,3,4,4,,,112,
AxB_R2_P87_B,selfedC,2,3/26/20,0,0,2,2,4,4,,,127,
AxB_R2_P87_B,selfedC,2,4/9/20,2,0,2,4,4,4,,,141,
AxB_R2_P87_B,selfedC,2,4/23/20,0,0,2,2,4,4,,,155,
AxB_R2_P87_B,selfedC,2,5/7/20,0,2,7,9,16,18,,,169,plus 2 hatchlings
AxB_R2_P87_B,selfedC,2,5/21/20,0,1,5,6,11,11,,,183,
AxB_R2_P87_B,selfedC,2,6/4/20,1,1,3,5,7,7,,,197,
AxB_R2_P87_B,selfedC,3,4/16/20,1,0,0,1,0,0,,,148,
AxB_R2_P87_B,selfedC,3,4/30/20,1,1,0,2,1,1,,,162,
AxB_R2_P87_B,selfedC,3,5/7/20,1,0,0,1,0,0,,,169,
AxB_R2_P87_B,selfedC,3,5/14/20,0,1,1,2,3,3,,,176,
AxB_R2_P87_B,selfedC,3,5/28/20,0,0,1,1,2,2,,,190,
AxB_R2_P87_B,selfedC,?,2/19/20,0,0,5,5,10,10,,,91,
AxB_R2_P87_B,selfedC,oldA,3/11/20,0,0,5,5,10,10,,,112,
AxB_R2_P87_B,selfedC,oldA,3/17/20,0,0,4,4,8,8,,,118,
AxB_R2_P87_B,selfedC,oldA,4/2/20,0,0,3,3,6,6,,,134,
AxB_R2_P87_B,selfedC,oldA,4/16/20,0,0,1,1,2,2,,,148,
AxB_R2_P87_B,selfedC,oldA,4/30/20,0,0,0,0,0,0,,,162,
AxB_R2_P87_B,selfedC,oldA,5/14/20,0,0,0,0,0,0,1,,176,"low numbers, struggling"
AxB_R2_P91_A,selfedC,1,4/9/20,9,3,2,14,7,7,,,141,
AxB_R2_P91_A,selfedC,1,4/23/20,5,6,11,22,28,28,,,155,
AxB_R2_P91_A,selfedC,1,5/7/20,2,0,2,4,4,4,,,169,
AxB_R2_P91_A,selfedC,1,5/21/20,1,0,12,13,24,24,,,183,
AxB_R2_P91_A,selfedC,1,6/4/20,1,1,5,7,11,11,,,197,
AxB_R3_431_A,AxCF1,1,3/11/20,0,0,0,0,0,0,,,112,
AxB_R3_431_A,AxCF1,1,3/26/20,0,0,0,0,0,0,,,127,
AxB_R3_431_A,AxCF1,1,4/9/20,0,0,0,0,0,0,,,141,
AxB_R3_431_A,AxCF1,1,4/23/20,0,0,0,0,0,0,,,155,
AxB_R3_431_A,AxCF1,1,5/7/20,0,0,0,0,0,0,,,169,
AxB_R3_431_A,AxCF1,1,5/21/20,1,0,0,1,0,0,,,183,
AxB_R3_431_A,AxCF1,2,4/9/20,0,0,2,2,4,4,,,141,
AxB_R3_431_A,AxCF1,2,4/23/20,0,0,0,0,0,0,,,155,
AxB_R3_431_A,AxCF1,2,5/7/20,0,0,0,0,0,0,,,169,
AxB_R3_431_A,AxCF1,2,5/21/20,0,0,0,0,0,0,,,183,
AxB_R4_P119_A,AxCF1,1,3/11/20,4,8,12,24,32,32,,,112,
AxB_R4_P119_A,AxCF1,1,3/17/20,1,0,0,1,0,0,,,118,
AxB_R4_P119_A,AxCF1,1,4/2/20,0,0,0,0,0,0,,,134,
AxB_R4_P119_A,AxCF1,1,4/16/20,0,1,4,5,9,9,,,148,
AxB_R4_P119_A,AxCF1,1,4/30/20,0,0,0,0,0,0,,,162,
AxB_R4_P119_A,AxCF1,1,5/14/20,0,0,0,0,0,0,,,176,
AxB_R4_P119_A,AxCF1,1,5/28/20,0,0,0,0,0,0,1,,190,very low numbers
AxB_R4_P119_A,AxCF1,2,3/11/20,3,0,0,3,0,0,,,112,
AxB_R4_P119_A,AxCF1,2,3/26/20,2,1,3,6,7,7,,,127,
AxB_R4_P119_A,AxCF1,2,4/9/20,0,0,0,0,0,0,,,141,
AxB_R4_P119_A,AxCF1,2,4/23/20,0,0,0,0,0,0,,,155,
AxB_R4_P119_A,AxCF1,2,5/7/20,0,0,4,4,8,8,,,169,
AxB_R4_P119_A,AxCF1,2,5/21/20,0,1,8,9,17,17,,,183,
AxB_R4_P119_A,AxCF1,2,6/4/20,2,2,8,12,18,18,,,197,
AxB_R4_P160_A,selfedC,1,3/11/20,0,0,0,0,0,0,,,112,
AxB_R4_P160_A,selfedC,1,3/26/20,0,0,0,0,0,0,,,127,
AxB_R4_P160_A,selfedC,1,4/9/20,0,0,0,0,0,0,,,141,
AxB_R4_P160_A,selfedC,1,4/23/20,0,0,0,0,0,0,,,155,
AxB_R4_P160_A,selfedC,1,5/7/20,0,0,0,0,0,0,1,,169,"low numbers, struggling"
AxB_R4_P160_A,selfedC,2,4/9/20,0,0,0,0,0,0,,,141,
AxB_R4_P160_A,selfedC,2,4/23/20,0,0,0,0,0,0,,,155,
AxB_R4_P160_A,selfedC,2,5/7/20,1,0,3,4,6,6,,,169,
AxB_R4_P161_A,selfedC,1,3/11/20,0,0,1,1,2,2,,,112,
AxB_R4_P161_A,selfedC,1,4/9/20,0,0,0,0,0,0,,,141,
AxB_R4_P161_A,selfedC,2,3/11/20,0,0,1,1,2,2,,,112,
AxB_R4_P161_A,selfedC,2,3/26/20,0,0,1,1,2,2,,,127,
AxB_R4_P161_A,selfedC,2,4/9/20,0,0,0,0,0,0,,,141,
AxB_R4_P161_A,selfedC,2,4/23/20,0,0,0,0,0,0,1,,155,"low numbers, struggling"
AxB_R4_P169_A,selfedC,1,4/9/20,0,1,0,1,1,1,,,141,
AxB_R4_P169_A,selfedC,1,4/23/20,0,0,2,2,4,4,,,155,
AxB_R4_P169_A,selfedC,1,5/7/20,0,0,2,2,4,4,,,169,
AxB_R4_P169_A,selfedC,1,5/21/20,0,0,2,2,4,4,,,183,
AxB_R4_P169_A,selfedC,1,6/4/20,0,0,1,1,2,2,,,197,
AxB_R4_P17_A,AxCF1,1,3/11/20,0,0,1,1,2,2,,,112,
AxB_R4_P17_A,AxCF1,1,3/17/20,0,0,0,0,0,0,,,118,
AxB_R4_P17_A,AxCF1,1,4/2/20,0,0,0,0,0,0,,,134,
AxB_R4_P17_A,AxCF1,1,4/16/20,0,0,0,0,0,0,,,148,
AxB_R4_P17_A,AxCF1,1,4/30/20,0,0,0,0,0,0,,,162,
AxB_R4_P17_A,AxCF1,1,5/14/20,0,0,0,0,0,0,,,176,
AxB_R4_P17_A,AxCF1,1,5/28/20,0,0,0,0,0,0,,,190,
AxB_R4_P17_A,AxCF1,2,3/11/20,2,0,0,2,0,0,,,112,
AxB_R4_P17_A,AxCF1,2,3/26/20,0,0,0,0,0,0,,,127,
